Mice,Phage,Cocktail ,Sample,PFU
M12,øNando,Cocktail-V1,Kidney,
M13,øNando,Entelli-02,Kidney,9615384.615
M14,øNando,Entelli-02,Kidney,51470588.24
M15,øNando,Entelli-02,Kidney,80000000
M16,øNando,Entelli-02,Kidney,62500000
M17,øNando,Entelli-02,Kidney,104166666.7
M18,øNando,Entelli-02,Kidney,29411764.71
M7,øNando,Cocktail-V1,Spleen,
M8,øNando,Cocktail-V1,Spleen,
M9,øNando,Cocktail-V1,Spleen,
M10,øNando,Cocktail-V1,Spleen,
M11,øNando,Cocktail-V1,Spleen,
M12,øNando,Cocktail-V1,Spleen,
M13,øNando,Entelli-02,Spleen,38461538.46
M14,øNando,Entelli-02,Spleen,29411764.71
M15,øNando,Entelli-02,Spleen,26000000
M16,øNando,Entelli-02,Spleen,62500000
M17,øNando,Entelli-02,Spleen,41666666.67
M18,øNando,Entelli-02,Spleen,5882352.941
M7,øTaquito,Cocktail-V1,Blood,
M8,øTaquito,Cocktail-V1,Blood,
M9,øTaquito,Cocktail-V1,Blood,
M10,øTaquito,Cocktail-V1,Blood,
M11,øTaquito,Cocktail-V1,Blood,
M12,øTaquito,Cocktail-V1,Blood,
M13,øTaquito,Entelli-02,Blood,7500000
M14,øTaquito,Entelli-02,Blood,100000000
M15,øTaquito,Entelli-02,Blood,28000000
M16,øTaquito,Entelli-02,Blood,2000000
M17,øTaquito,Entelli-02,Blood,20000000
M18,øTaquito,Entelli-02,Blood,20000000
M7,øTaquito,Cocktail-V1,Liver,
M8,øTaquito,Cocktail-V1,Liver,
M9,øTaquito,Cocktail-V1,Liver,
M10,øTaquito,Cocktail-V1,Liver,
M11,øTaquito,Cocktail-V1,Liver,
M12,øTaquito,Cocktail-V1,Liver,
M13,øTaquito,Entelli-02,Liver,5769230.769
M14,øTaquito,Entelli-02,Liver,11764705.88
M15,øTaquito,Entelli-02,Liver,8000000
M16,øTaquito,Entelli-02,Liver,4687500
M17,øTaquito,Entelli-02,Liver,2083333.333
M18,øTaquito,Entelli-02,Liver,1470588.235
M7,øTaquito,Cocktail-V1,Kidney,
M8,øTaquito,Cocktail-V1,Kidney,
M9,øTaquito,Cocktail-V1,Kidney,
M10,øTaquito,Cocktail-V1,Kidney,
M11,øTaquito,Cocktail-V1,Kidney,
M12,øTaquito,Cocktail-V1,Kidney,
M13,øTaquito,Entelli-02,Kidney,384615.3846
M14,øTaquito,Entelli-02,Kidney,3676470.588
M15,øTaquito,Entelli-02,Kidney,2000000
M16,øTaquito,Entelli-02,Kidney,4687500
M17,øTaquito,Entelli-02,Kidney,2083333.333
M18,øTaquito,Entelli-02,Kidney,1176470.588
M7,øTaquito,Cocktail-V1,Spleen,
M8,øTaquito,Cocktail-V1,Spleen,
M9,øTaquito,Cocktail-V1,Spleen,
M10,øTaquito,Cocktail-V1,Spleen,
M11,øTaquito,Cocktail-V1,Spleen,
M12,øTaquito,Cocktail-V1,Spleen,
M13,øTaquito,Entelli-02,Spleen,3846153.846
M14,øTaquito,Entelli-02,Spleen,14705882.35
M15,øTaquito,Entelli-02,Spleen,4000000
M16,øTaquito,Entelli-02,Spleen,25000000
M17,øTaquito,Entelli-02,Spleen,4166666.667
M18,øTaquito,Entelli-02,Spleen,588235.2941
